
Integration time [ms]: 1000.000
Averaging Nr. [scans]: 1
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 1308032U1
Wave   ;Sample   ;Dark     ;Reference;Scope
[nm]   ;[counts] ;[counts] ;[counts] 
263.150; 1460.667;  146.278; 1377.056
263.747; 1330.667;  156.278; 1294.056
264.344; 1267.667;  158.278; 1165.056
264.940; 1270.667;  163.278; 1186.056
265.537; 1326.667;  177.278; 1192.056
266.134; 1481.667;  194.278; 1380.056
266.730; 1276.667;  157.278; 1214.056
267.327; 1409.667;  176.278; 1320.056
267.923; 1276.667;  164.278; 1210.056
268.519; 1260.667;  179.278; 1121.056
269.116; 1318.667;  168.278; 1235.056
269.712; 1125.667;  113.278; 1038.056
270.309; 1164.667;  109.278; 1059.056
270.905; 1343.667;  177.278; 1272.056
271.501; 1327.667;  194.278; 1254.056
272.098; 1350.667;  165.278; 1233.056
272.694; 1468.667;  219.278; 1366.056
273.290; 1281.667;  147.278; 1163.056
273.886; 1311.667;  117.278; 1245.056
274.482; 1351.667;  156.278; 1168.056
275.078; 1466.667;  211.278; 1404.056
275.675; 1297.667;  174.278; 1206.056
276.271; 1198.667;  140.278; 1079.056
276.867; 1177.667;  165.278; 1086.056
277.463; 1263.667;  167.278; 1289.056
278.059; 1380.667;  148.278; 1281.056
278.655; 1174.667;  172.278; 1112.056
279.250; 1296.667;  165.278; 1187.056
279.846; 1092.667;  143.278;  982.056
280.442; 1129.667;  140.278; 1046.056
281.038; 1359.667;  183.278; 1384.056
281.634; 1206.667;  131.278; 1149.056
282.230; 1245.667;  181.278; 1181.056
282.825; 1251.667;  160.278; 1158.056
283.421; 1034.667;  127.278; 1004.056
284.017; 1147.667;   92.278; 1017.056
284.612; 1108.667;  134.278; 1150.056
285.208; 1208.667;  117.278; 1132.056
285.804; 1365.667;  191.278; 1264.056
286.399; 1172.667;  144.278; 1063.056
286.995; 1143.667;  145.278; 1098.056
287.590; 1349.667;  178.278; 1212.056
288.186; 1225.667;  105.278; 1157.056
288.781; 1316.667;  166.278; 1261.056
289.376; 1083.667;  137.278; 1101.056
289.972; 1189.667;  155.278; 1148.056
290.567; 1216.667;  160.278; 1125.056
291.162; 1360.667;  177.278; 1304.056
291.758; 1197.667;  148.278; 1184.056
292.353; 1141.667;  111.278; 1100.056
292.948; 1186.667;  178.278; 1125.056
293.543; 1317.667;  209.278; 1276.056
294.139; 1273.667;  191.278; 1225.056
294.734; 1172.667;  153.278; 1153.056
295.329; 1350.667;  188.278; 1313.056
295.924; 1194.667;  134.278; 1184.056
296.519; 1106.667;  145.278; 1099.056
297.114; 1264.667;  152.278; 1282.056
297.709; 1369.667;  183.278; 1326.056
298.304; 1216.667;  147.278; 1138.056
298.899; 1140.667;  126.278; 1167.056
299.494; 1254.667;  139.278; 1195.056
300.089; 1433.667;  197.278; 1356.056
300.683; 1174.667;  152.278; 1158.056
301.278; 1239.667;  188.278; 1208.056
301.873; 1409.667;  182.278; 1361.056
302.468; 1480.667;  190.278; 1459.056
303.062; 1170.667;  147.278; 1203.056
303.657; 1278.667;  107.278; 1250.056
304.252; 1417.667;  181.278; 1351.056
304.846; 1270.667;  126.278; 1230.056
305.441; 1531.667;  198.278; 1475.056
306.036; 1384.667;  202.278; 1375.056
306.630; 1374.667;  152.278; 1338.056
307.225; 1402.667;  213.278; 1359.056
307.819; 1316.667;  134.278; 1282.056
308.413; 1177.667;  152.278; 1155.056
309.008; 1053.667;  132.278; 1011.056
309.602; 1352.667;  181.278; 1364.056
310.197; 1480.667;  189.278; 1445.056
310.791; 1221.667;  132.278; 1180.056
311.385; 1056.667;  127.278; 1103.056
311.979; 1118.667;  155.278; 1119.056
312.574; 1181.667;  161.278; 1103.056
313.168; 1275.667;  163.278; 1156.056
313.762; 1060.667;  111.278; 1071.056
314.356; 1287.667;  190.278; 1301.056
314.950; 1518.667;  190.278; 1519.056
315.544; 1384.667;  179.278; 1303.056
316.138; 1367.667;  182.278; 1321.056
316.732; 1297.667;  180.278; 1245.056
317.326; 1163.667;  138.278; 1194.056
317.920; 1070.667;  160.278; 1123.056
318.514; 1295.667;  168.278; 1287.056
319.108; 1187.667;  102.278; 1150.056
319.702; 1338.667;  191.278; 1306.056
320.296; 1287.667;  158.278; 1226.056
320.890; 1270.667;  157.278; 1263.056
321.483; 1265.667;  157.278; 1255.056
322.077; 1113.667;  140.278; 1062.056
322.671; 1246.667;  162.278; 1192.056
323.264; 1071.667;  148.278; 1020.056
323.858; 1122.667;  113.278; 1037.056
324.452; 1234.667;  127.278; 1209.056
325.045; 1128.667;  155.278; 1096.056
325.639; 1110.667;  148.278; 1125.056
326.232; 1169.667;  157.278; 1117.056
326.826; 1516.667;  209.278; 1466.056
327.419; 1124.667;  106.278; 1032.056
328.013; 1123.667;  128.278; 1161.056
328.606; 1166.667;  165.278; 1182.056
329.200; 1282.667;  181.278; 1270.056
329.793; 1145.667;  147.278; 1060.056
330.386; 1309.667;  180.278; 1355.056
330.979; 1459.667;  207.278; 1396.056
331.573; 1356.667;  173.278; 1376.056
332.166; 1258.667;  181.278; 1214.056
332.759; 1254.667;  166.278; 1239.056
333.352; 1298.667;  147.278; 1251.056
333.945; 1279.667;  170.278; 1295.056
334.538; 1217.667;  159.278; 1147.056
335.131; 1124.667;  147.278; 1130.056
335.724; 1422.667;  174.278; 1353.056
336.317; 1268.667;  172.278; 1241.056
336.910; 1377.667;  204.278; 1329.056
337.503; 1294.667;  140.278; 1271.056
338.096; 1413.667;  210.278; 1346.056
338.689; 1218.667;  132.278; 1170.056
339.282; 1125.667;  167.278; 1126.056
339.875; 1266.667;  171.278; 1224.056
